Date,Price
2024-06-17,9.9471
2024-06-18,9.9846
2024-06-19,9.9789
2024-06-20,10.0638
2024-06-21,10.0505
2024-06-24,10.0037
2024-06-25,10.1192
2024-06-26,10.1297
2024-06-27,10.0558
2024-06-28,10.0407
2024-07-01,10.041
2024-07-02,10.1601
2024-07-03,10.0983
2024-07-04,10.1992
2024-07-05,10.1994
2024-07-08,10.2475
2024-07-09,10.3075
2024-07-10,10.3397
2024-07-11,10.3557
2024-07-12,10.4305
2024-07-15,10.5019
2024-07-16,10.5183
2024-07-17,10.544
2024-07-18,10.5611
2024-07-19,10.5461
2024-07-22,10.5498
2024-07-23,10.5186
2024-07-24,10.4694
2024-07-25,10.4329
2024-07-26,10.394
2024-07-29,10.4437
2024-07-30,10.3544
2024-07-31,10.3687
2024-08-01,10.352
2024-08-02,10.3375
2024-08-05,10.4077
2024-08-06,10.4778
2024-08-07,10.3933
2024-08-08,10.3709
2024-08-09,10.3721
2024-08-12,10.3783
2024-08-13,10.4763
2024-08-14,10.5325
2024-08-15,10.5997
2024-08-16,10.5824
2024-08-19,10.6009
2024-08-20,10.685
2024-08-21,10.7395
2024-08-22,10.7124
2024-08-23,10.742
2024-08-26,10.7191
2024-08-27,10.7877
2024-08-28,10.7767
2024-08-29,10.6768
2024-08-30,10.6572
2024-09-02,10.6354
2024-09-03,10.6302
2024-09-04,10.6466
2024-09-05,10.6581
2024-09-06,10.6766
2024-09-09,10.6474
2024-09-10,10.6092
2024-09-11,10.5935
2024-09-12,10.614
2024-09-13,10.5761
2024-09-16,10.6738
2024-09-17,10.7712
2024-09-18,10.8109
2024-09-19,10.8001
2024-09-20,10.8408
2024-09-23,10.7905
2024-09-24,10.7596
2024-09-25,10.7917
2024-09-26,10.8329
2024-09-27,10.7586
2024-09-30,10.7512
2024-10-01,10.7832
2024-10-02,10.6666
2024-10-03,10.6443
2024-10-04,10.5731
2024-10-07,10.5302
2024-10-08,10.4625
2024-10-09,10.5013
2024-10-10,10.4994
2024-10-11,10.4635
2024-10-14,10.4972
2024-10-15,10.4836
2024-10-16,10.4633
2024-10-17,10.4472
2024-10-18,10.3848
2024-10-21,10.3793
2024-10-22,10.3792
2024-10-23,10.3512
2024-10-24,10.2346
2024-10-25,10.2568
2024-10-28,10.2844
2024-10-29,10.2753
2024-10-30,10.2603
2024-10-31,10.2786
2024-11-01,10.3033
2024-11-04,10.3274
2024-11-05,10.3948
2024-11-06,10.3555
2024-11-07,10.1973
2024-11-08,10.306
2024-11-11,10.2924
2024-11-12,10.1313
2024-11-13,10.096
2024-11-14,10.1267
2024-11-15,10.0154
2024-11-18,10.1066
2024-11-19,10.0859
2024-11-20,10.095
2024-11-21,10.0583
2024-11-22,10.009
2024-11-25,9.9118
2024-11-26,10.0623
2024-11-27,10.1433
2024-11-28,10.1575
2024-11-29,10.1726
2024-12-02,10.2159
2024-12-03,10.1899
2024-12-04,10.1994
2024-12-05,10.1955
2024-12-06,10.2512
2024-12-09,10.2751
2024-12-10,10.2955
2024-12-11,10.2685
2024-12-12,10.271
2024-12-13,10.2208
2024-12-16,10.2518
2024-12-17,10.2738
2024-12-18,10.3012
2024-12-19,10.3257
2024-12-20,10.2504
2024-12-23,10.2099
2024-12-24,10.2118
2024-12-25,10.2169
2024-12-26,10.1788
2024-12-27,10.202
2024-12-30,10.2291
2024-12-31,10.2966
2025-01-01,10.218
2025-01-02,10.2342
2025-01-03,10.1456
2025-01-06,10.1404
2025-01-07,10.3211
2025-01-08,10.3062
2025-01-09,10.1558
2025-01-10,10.1927
2025-01-13,10.218
2025-01-14,10.097
2025-01-15,10.1492
2025-01-16,10.2129
2025-01-17,10.1572
2025-01-20,10.1819
2025-01-21,10.2197
2025-01-22,10.2571
2025-01-23,10.3738
2025-01-24,10.3724
2025-01-27,10.4219
2025-01-28,10.4629
2025-01-29,10.405
2025-01-30,10.3491
2025-01-31,10.3433
2025-02-03,10.2782
2025-02-04,10.1333
2025-02-05,10.2187
2025-02-06,10.3422
2025-02-07,10.2171
2025-02-10,10.2542
2025-02-11,10.2677
2025-02-12,10.2992
2025-02-13,10.3954
2025-02-14,10.4142
2025-02-17,10.4661
2025-02-18,10.4626
2025-02-19,10.4357
2025-02-20,10.4092
2025-02-21,10.4748
2025-02-24,10.4395
2025-02-25,10.5264
2025-02-26,10.5741
2025-02-27,10.5266
2025-02-28,10.5309
2025-03-03,10.389
2025-03-04,10.4382
2025-03-05,10.5502
2025-03-06,10.674
2025-03-07,10.6715
2025-03-10,10.7063
2025-03-11,10.6754
2025-03-12,10.7755
2025-03-13,10.7647
2025-03-14,10.7194
2025-03-17,10.8446
2025-03-18,10.7848
2025-03-19,10.8603
2025-03-20,10.8209
2025-03-21,10.7189
2025-03-24,10.7141
2025-03-25,10.7885
2025-03-26,10.8411
2025-03-27,10.7399
2025-03-28,10.6561
2025-03-31,10.7078
2025-04-01,10.716
2025-04-02,10.6538
2025-04-03,10.6829
2025-04-04,10.9297
2025-04-07,10.7023
2025-04-08,10.4921
2025-04-09,10.5377
2025-04-10,10.6057
2025-04-11,10.7703
2025-04-14,10.9232
2025-04-15,10.9732
2025-04-16,10.8843
2025-04-17,10.8992
2025-04-18,10.999
2025-04-21,10.9916
2025-04-22,11.1734
2025-04-23,11.148
2025-04-24,11.0753
2025-04-25,11.0928
2025-04-28,11.102
2025-04-29,11.0859
2025-04-30,11.0733
2025-05-01,11.035
2025-05-02,11.003
2025-05-05,11.0696
2025-05-06,11.0313
2025-05-07,10.9851
2025-05-08,11.0037
2025-05-09,10.9792
2025-05-12,11.0292
2025-05-13,10.8848
2025-05-14,10.8461
2025-05-15,10.9815
2025-05-16,10.9364
2025-05-19,10.9252
2025-05-20,10.9783
2025-05-21,10.9842
2025-05-22,11.0552
2025-05-23,11.0537
2025-05-26,11.026
2025-05-27,11.1369
2025-05-28,11.1379
2025-05-29,11.0964
2025-05-30,11.0489
2025-06-02,11.0795
2025-06-03,11.1515
2025-06-04,11.0909
2025-06-05,11.0227
2025-06-06,11.0559
2025-06-09,11.0243
2025-06-10,11.0929
2025-06-11,11.1678
2025-06-12,11.1366
2025-06-13,11.269
2025-06-16,11.1581
2025-06-17,11.276
2025-06-18,11.2264
2025-06-19,11.206
2025-06-20,11.1895
2025-06-23,11.3027
2025-06-24,11.2307
2025-06-25,11.395
2025-06-26,11.3753
2025-06-27,11.4538
2025-06-30,11.5091
2025-07-01,11.5478
2025-07-02,11.6436
2025-07-03,11.5604
2025-07-04,11.5733
2025-07-07,11.5665
2025-07-08,11.5424
2025-07-09,11.5584
2025-07-10,11.5189
2025-07-11,11.5279
2025-07-14,11.47
2025-07-15,11.4775
2025-07-16,11.4701
2025-07-17,11.3901
2025-07-18,11.3853
2025-07-21,11.4397
2025-07-22,11.4986
2025-07-23,11.4797
2025-07-24,11.5087
2025-07-25,11.5372
2025-07-28,11.5106
2025-07-29,11.4341
2025-07-30,11.268
2025-07-31,11.2818
2025-08-01,11.1736
2025-08-04,11.1425
2025-08-05,11.3044
2025-08-06,11.2439
2025-08-07,11.2865
2025-08-08,11.3297
2025-08-11,11.3362
2025-08-12,11.332
2025-08-13,11.2815
2025-08-14,11.4228
2025-08-15,11.3777
2025-08-18,11.3428
2025-08-19,11.333
2025-08-20,11.3843
2025-08-21,11.3387
2025-08-22,11.2862
2025-08-25,11.2389
2025-08-26,11.3725
2025-08-27,11.3285
2025-08-28,11.2103
2025-08-29,11.2918
2025-09-01,11.298
2025-09-02,11.3904
2025-09-03,11.2983
2025-09-04,11.3354
2025-09-05,11.3249
2025-09-08,11.3307
2025-09-09,11.3874
2025-09-10,11.3489
2025-09-11,11.3184
2025-09-12,11.3145
2025-09-15,11.3704
2025-09-16,11.4089
2025-09-17,11.4509
2025-09-18,11.4661
2025-09-19,11.4618
2025-09-22,11.359
2025-09-23,11.442
2025-09-24,11.4659
2025-09-25,11.4035
2025-09-26,11.4248
2025-09-29,11.3333
2025-09-30,11.3457
2025-10-01,11.3111
2025-10-02,11.3642
2025-10-03,11.3926
2025-10-06,11.3687
2025-10-07,11.3505
2025-10-08,11.3231
2025-10-09,11.3245
2025-10-10,11.3303
2025-10-13,11.2965
2025-10-14,11.2945
2025-10-15,11.3197
2025-10-16,11.4004
2025-10-17,11.4124
2025-10-20,11.479
2025-10-21,11.4605
2025-10-22,11.4339
2025-10-23,11.431
2025-10-24,11.4654
2025-10-27,11.4931
2025-10-28,11.5638
2025-10-29,11.5549
2025-10-30,11.5154
2025-10-31,11.4282
2025-11-03,11.3727
2025-11-04,11.3809
2025-11-05,11.3531
2025-11-06,11.3535
2025-11-07,11.4085
2025-11-10,11.417
2025-11-11,11.4652
2025-11-12,11.4937
2025-11-13,11.5036
2025-11-14,11.5615
2025-11-17,11.5704
2025-11-18,11.5515
2025-11-19,11.4934
2025-11-20,11.53
2025-11-21,11.4642
2025-11-24,11.4704
2025-11-25,11.5607
2025-11-26,11.5895
2025-11-27,11.5681
2025-11-28,11.5458
2025-12-01,11.5342
2025-12-02,11.6633
2025-12-03,11.6067
2025-12-04,11.6391
2025-12-05,11.634
2025-12-08,11.5763
2025-12-09,11.5905
2025-12-10,11.6055
2025-12-11,11.6496
2025-12-12,11.7126
2025-12-15,11.7143
2025-12-16,11.7615
2025-12-17,11.7687
2025-12-18,11.7885
2025-12-19,11.7905
2025-12-22,11.747
2025-12-23,11.7499
2025-12-24,11.73
2025-12-25,11.7914
2025-12-26,11.6975
2025-12-29,11.7401
2025-12-30,11.7429
2025-12-31,11.7963
2026-01-01,11.8015
2026-01-02,11.7087
2026-01-05,11.7709
2026-01-06,11.7428
2026-01-07,11.8274
2026-01-08,11.8493
2026-01-09,11.9242
2026-01-12,11.903
2026-01-13,12.0043
2026-01-14,11.9499
2026-01-15,11.9179
2026-01-16,11.9826
2026-01-19,11.9342
2026-01-20,11.9031
2026-01-21,11.9932
2026-01-22,11.9866
2026-01-23,12.0074
2026-01-26,12.0473
2026-01-27,12.134
2026-01-28,12.1883
2026-01-29,12.1918
2026-01-30,12.1898
2026-02-02,12.123
2026-02-03,12.0735
2026-02-04,12.0711
2026-02-05,12.0821
2026-02-06,12.0585
2026-02-09,12.0339
2026-02-10,12.1335
2026-02-11,12.1553
2026-02-12,12.1511
2026-02-13,12.1059
2026-02-16,12.1346
2026-02-17,12.1498
2026-02-18,12.1422
2026-02-19,12.1515
2026-02-20,12.0621
2026-02-23,12.0509
2026-02-24,12.0945
2026-02-25,12.0757
2026-02-26,12.0728
2026-02-27,12.0835
2026-03-02,12.0393
2026-03-03,11.9386
2026-03-04,11.7844
2026-03-05,11.9361
2026-03-06,11.9125
2026-03-09,11.7935
